,acc,loss,val_acc,val_loss
0,0.6288546316718566,1.178539625951089,0.7414780429005623,0.8822095987200737
1,0.7726127200294286,0.7367493275087327,0.7764786800742149,0.798830364048481
2,0.8201480471761897,0.5816867496469058,0.8226195427775383,0.5938487869501113
3,0.8442782328929752,0.4955836601438932,0.8575185799598694,0.4782316239178181
4,0.8584507616469637,0.4468104199622758,0.8578201520442963,0.4866247479617596
5,0.8730667005293071,0.3964680617209524,0.8549655446410179,0.48887987807393074
6,0.8858615698991343,0.3530564753746148,0.8675711172819137,0.4530688455700874
7,0.8943136392626911,0.32322673621820286,0.8608861351013184,0.49267379865050315
8,0.9016703963279724,0.2978228125430178,0.879223992228508,0.4356216876208782
9,0.906802301411517,0.278659872506978,0.8603368800878525,0.4522531144320965
