,acc,loss,val_acc,val_loss
0,0.6872905166146666,1.1046914730686694,0.6720058599114418,0.9693841087818146
1,0.7702493090182543,0.7298350222990848,0.747350485920906,0.8164228349924088
2,0.8290530209196731,0.5491790776723064,0.8341565412282944,0.5890823888778687
3,0.8616978268837556,0.44292241195216775,0.8704319334030152,0.42880128547549246
4,0.8810789107810706,0.3784003763285,0.8443385207653046,0.5259994921088219
5,0.8974971007555723,0.3223670488514472,0.8795336458086968,0.3872578251361847
6,0.909199811052531,0.28325774904806167,0.8644388708472251,0.5509435072541237
7,0.9196503064595163,0.24902215247857384,0.8422553238272666,0.5463057258725166
8,0.9292222212534398,0.21883220656309277,0.8967862769961357,0.3338486349582672
9,0.934214383829385,0.2025833852676442,0.7397146978974343,1.1700316452980042
